URL;NAME;ADDRESS;CITY;RATINGS;ABOUT;AVG RATINGS;SERVICES;ABOUT ROOMS
https://www.tripadvisor.it/Hotel_Review-g187874-d574079-Reviews-IH_Hotels_Bari_Oriente-Bari_Province_of_Bari_Puglia.html;Hotel Oriente;Corso Cavour, 32;70121, Bari, ;787;-;4;Servizio in camera Internet ad alta velocità gratuito (WiFi) Ristorante Bar/Lounge Colazione inclusa Accessibile in sedia a rotelle Animali domestici ammessi Centro congressi con accesso a Internet ;Aria condizionata Minibar Camere con accesso per disabili Camere non fumatori Camere per famiglie Suite 
https://www.tripadvisor.it/Hotel_Review-g187874-d3370749-Reviews-Grande_Albergo_delle_Nazioni-Bari_Province_of_Bari_Puglia.html;Grande Albergo delle Nazioni;Lungomare Nazario Sauro 7;70121, Bari, ;788;-;4;Piscina Servizio in camera Bar/Lounge Internet ad alta velocità gratuito (WiFi) Ristorante Spa Centro fitness con palestra/sala fitness Accessibile in sedia a rotelle ;Aria condizionata Minibar Camere con accesso per disabili Camere non fumatori Camere per famiglie Suite 
https://www.tripadvisor.it/Hotel_Review-g187874-d202938-Reviews-The_Nicolaus_Hotel-Bari_Province_of_Bari_Puglia.html;The Nicolaus Hotel;Via Cardinale A. Ciasca, 27;70124, Bari, ;1369;Certificato di Eccellenza;4.5;Piscina Servizio in camera Ristorante Internet ad alta velocità gratuito (WiFi) Centro fitness con palestra/sala fitness Bar/Lounge Spa Accessibile in sedia a rotelle ;Aria condizionata Minibar Camere non fumatori Camere per famiglie Suite 
https://www.tripadvisor.it/Hotel_Review-g187874-d2410582-Reviews-B_B_Melo-Bari_Province_of_Bari_Puglia.html;B&B Melo;Via Melo da Bari 195;70121, Bari, ;338;Certificato di Eccellenza;4;Internet ad alta velocità gratuito (WiFi) Colazione inclusa Colazione disponibile Personale multilingue Trasporti per l'aeroporto Wi-Fi pubblico ;Aria condizionata Frigorifero in camera Camere non fumatori Camere per famiglie 
https://www.tripadvisor.it/Hotel_Review-g187874-d231246-Reviews-Mercure_Villa_Romanazzi_Carducci-Bari_Province_of_Bari_Puglia.html;Mercure Villa Romanazzi Carducci;Via Capruzzi 326;70124, Bari, ;2130;Certificato di Eccellenza;4;Ristorante Servizio in camera Centro fitness con palestra/sala fitness Bar/Lounge Internet ad alta velocità gratuito (WiFi) Piscina Spa Accessibile in sedia a rotelle ;Aria condizionata Minibar Camere con accesso per disabili Camere non fumatori Camere per famiglie Suite 
https://www.tripadvisor.it/Hotel_Review-g187874-d518381-Reviews-Hi_Hotel_Bari-Bari_Province_of_Bari_Puglia.html;Hi Hotel Bari;Via Don Guanella 15/L;70124, Bari, ;519;Certificato di Eccellenza;4.5;Ristorante Centro fitness con palestra/sala fitness Servizio in camera Internet ad alta velocità gratuito (WiFi) Piscina Bar/Lounge Spa Colazione inclusa ;Aria condizionata Minibar Camere con accesso per disabili Camere non fumatori Camere per famiglie Suite 
https://www.tripadvisor.it/Hotel_Review-g187874-d9582532-Reviews-B_B_Casa_Rossella-Bari_Province_of_Bari_Puglia.html;B&B Casa Rossella;Via Ottavio Serena 9;70126, Bari, ;104;Certificato di Eccellenza;5;Internet ad alta velocità gratuito (WiFi) Colazione inclusa Accessibile in sedia a rotelle Animali domestici ammessi Hotel non fumatori Lavanderia self-service Personale multilingue Servizio lavanderia ;Aria condizionata Camere con accesso per disabili Camere non fumatori Camere per famiglie 
https://www.tripadvisor.it/Hotel_Review-g187874-d6456400-Reviews-Bed_Breakfast_Oz-Bari_Province_of_Bari_Puglia.html;Bed & Breakfast Oz;Via Dante Alighieri 328;70122, Bari, ;84;Certificato di Eccellenza;5;Internet ad alta velocità gratuito (WiFi) Colazione inclusa Hotel non fumatori Wi-Fi pubblico ;Aria condizionata Frigorifero in camera Minibar Camere non fumatori 
https://www.tripadvisor.it/Hotel_Review-g187874-d7290542-Reviews-Hotel_Imago-Bari_Province_of_Bari_Puglia.html;Hotel Imago;Via Altamura 26;70122, Bari, ;223;Certificato di Eccellenza;4.5;Internet ad alta velocità gratuito (WiFi) Bar/Lounge Accessibile in sedia a rotelle Concierge Hotel non fumatori Personale multilingue Wi-Fi pubblico ;Aria condizionata Minibar Camere con accesso per disabili Camere non fumatori Camere per famiglie Suite 
https://www.tripadvisor.it/Hotel_Review-g187874-d2329574-Reviews-La_Muraglia_B_B-Bari_Province_of_Bari_Puglia.html;La Muraglia B&B;Strada Annunziata 2;70122, Bari, ;128;Certificato di Eccellenza;5;Internet ad alta velocità gratuito (WiFi) Colazione inclusa Animali domestici ammessi Hotel non fumatori Wi-Fi pubblico ;Aria condizionata Frigorifero in camera Camere non fumatori Cucinino 
